account_id,entity_id,account_type,date,sessions,kwh,preferred_cooking_hour,green_window_share,red_window_sessions,shifted_daytime_sessions,credits_earned,credits_spent,fuel_stacking_risk_flag,green_sessions,orange_sessions,red_sessions
BIZ-001,BIZ-001,commercial,2025-06-01,2,4.658,11,1.0,0,2,96,113,1,2,0,0
BIZ-001,BIZ-001,commercial,2025-06-02,2,4.43,6,0.0,2,0,0,108,1,0,0,2
BIZ-001,BIZ-001,commercial,2025-06-03,1,2.072,11,1.0,0,1,43,50,1,1,0,0
BIZ-001,BIZ-001,commercial,2025-06-04,2,5.823,6,0.0,2,0,0,141,1,0,0,2
BIZ-001,BIZ-001,commercial,2025-06-05,1,4.099,6,0.0,1,0,0,99,1,0,0,1
BIZ-001,BIZ-001,commercial,2025-06-06,2,4.943,6,0.5,1,1,19,119,1,1,0,1
BIZ-001,BIZ-001,commercial,2025-06-07,2,4.676,6,0.5,1,1,54,114,1,1,0,1
BIZ-001,BIZ-001,commercial,2025-06-08,2,3.392,6,0.5,1,1,50,82,1,1,0,1
BIZ-001,BIZ-001,commercial,2025-06-09,2,3.226,6,0.5,1,1,38,78,1,1,0,1
BIZ-001,BIZ-001,commercial,2025-06-10,2,5.645,6,0.0,2,0,0,136,1,0,0,2
BIZ-001,BIZ-001,commercial,2025-06-11,1,0.91,6,0.0,1,0,0,22,1,0,0,1
BIZ-001,BIZ-001,commercial,2025-06-12,1,1.257,6,0.0,1,0,0,31,1,0,0,1
BIZ-001,BIZ-001,commercial,2025-06-13,2,4.487,11,1.0,0,2,93,109,1,2,0,0
BIZ-001,BIZ-001,commercial,2025-06-14,1,0.618,6,0.0,1,0,0,15,1,0,0,1
BIZ-001,BIZ-001,commercial,2025-06-15,1,1.728,6,0.0,1,0,0,42,1,0,0,1
BIZ-001,BIZ-001,commercial,2025-06-16,1,4.013,11,1.0,0,1,78,97,1,1,0,0
BIZ-001,BIZ-001,commercial,2025-06-17,2,5.628,11,1.0,0,2,113,136,1,2,0,0
BIZ-001,BIZ-001,commercial,2025-06-18,2,2.922,6,0.5,1,1,23,71,1,1,0,1
BIZ-001,BIZ-001,commercial,2025-06-19,2,3.638,6,0.5,1,1,32,88,1,1,0,1
BIZ-001,BIZ-001,commercial,2025-06-20,2,7.477,6,0.5,1,1,55,180,1,1,0,1
BIZ-001,BIZ-001,commercial,2025-06-21,2,5.586,6,0.0,2,0,0,135,1,0,0,2
BIZ-001,BIZ-001,commercial,2025-06-22,2,5.697,6,0.5,1,1,82,137,1,1,0,1
BIZ-001,BIZ-001,commercial,2025-06-23,1,0.702,6,0.0,1,0,0,17,1,0,0,1
BIZ-001,BIZ-001,commercial,2025-06-24,2,4.915,6,0.0,2,0,0,119,1,0,0,2
BIZ-001,BIZ-001,commercial,2025-06-25,2,3.99,6,0.0,2,0,0,97,1,0,0,2
BIZ-001,BIZ-001,commercial,2025-06-26,1,1.492,11,1.0,0,1,33,36,1,1,0,0
BIZ-001,BIZ-001,commercial,2025-06-27,2,1.311,11,1.0,0,2,36,32,1,2,0,0
BIZ-001,BIZ-001,commercial,2025-06-28,2,4.526,6,0.5,1,1,43,109,1,1,0,1
BIZ-001,BIZ-001,commercial,2025-06-29,1,2.762,6,0.0,1,0,0,67,1,0,0,1
BIZ-001,BIZ-001,commercial,2025-06-30,2,4.669,11,1.0,0,2,96,114,1,2,0,0
BIZ-002,BIZ-002,commercial,2025-06-01,2,4.759,6,0.5,1,1,75,115,1,1,0,1
BIZ-002,BIZ-002,commercial,2025-06-02,2,3.918,11,1.0,0,2,83,95,1,2,0,0
BIZ-002,BIZ-002,commercial,2025-06-03,1,3.127,11,1.0,0,1,62,76,1,1,0,0
BIZ-002,BIZ-002,commercial,2025-06-04,2,6.269,6,0.0,2,0,0,152,1,0,0,2
BIZ-002,BIZ-002,commercial,2025-06-05,2,3.522,11,1.0,0,2,76,86,1,2,0,0
BIZ-002,BIZ-002,commercial,2025-06-06,2,6.263,11,1.0,0,2,125,152,1,2,0,0
BIZ-002,BIZ-002,commercial,2025-06-07,1,2.693,6,0.0,1,0,0,65,1,0,0,1
BIZ-002,BIZ-002,commercial,2025-06-08,2,4.49,6,0.5,1,1,64,108,1,1,0,1
BIZ-002,BIZ-002,commercial,2025-06-09,2,5.678,6,0.5,1,1,48,137,1,1,0,1
BIZ-002,BIZ-002,commercial,2025-06-10,1,2.128,6,0.0,1,0,0,52,1,0,0,1
BIZ-002,BIZ-002,commercial,2025-06-11,2,3.381,6,0.5,1,1,44,82,1,1,0,1
BIZ-002,BIZ-002,commercial,2025-06-12,2,6.06,6,0.5,1,1,51,146,1,1,0,1
