ledger_id,account_id,event_type,session_id,credits_delta,cash_kes,balance_after,reason,created_at
LED-000001,BIZ-001,top_up,,1200,600,1200,opening prepaid balance,2025-06-01T00:00:00
LED-000002,BIZ-001,cook_charge,SYN-00032,-67,0,1133,2.782 kWh cooking charge,2025-06-01T12:27:00
LED-000003,BIZ-001,green_reward,SYN-00032,56,0,1189,green cooking behavior reward,2025-06-01T12:27:00
LED-000004,BIZ-001,cook_charge,SYN-00040,-46,0,1143,1.876 kWh cooking charge,2025-06-01T13:32:00
LED-000005,BIZ-001,green_reward,SYN-00040,40,0,1183,green cooking behavior reward,2025-06-01T13:32:00
LED-000006,BIZ-001,cook_charge,SYN-00105,-84,0,1099,3.469 kWh cooking charge,2025-06-02T08:19:00
LED-000007,BIZ-001,cook_charge,SYN-00107,-24,0,1075,0.961 kWh cooking charge,2025-06-02T07:33:00
LED-000008,BIZ-001,cook_charge,SYN-00231,-50,0,1025,2.072 kWh cooking charge,2025-06-03T12:32:00
LED-000009,BIZ-001,green_reward,SYN-00231,43,0,1068,green cooking behavior reward,2025-06-03T12:32:00
LED-000010,BIZ-001,cook_charge,SYN-00296,-71,0,997,2.918 kWh cooking charge,2025-06-04T07:25:00
LED-000011,BIZ-001,cook_charge,SYN-00298,-70,0,927,2.905 kWh cooking charge,2025-06-04T07:33:00
LED-000012,BIZ-001,cook_charge,SYN-00399,-99,0,828,4.099 kWh cooking charge,2025-06-05T08:33:00
LED-000013,BIZ-001,cook_charge,SYN-00479,-102,0,726,4.241 kWh cooking charge,2025-06-06T08:21:00
LED-000014,BIZ-001,cook_charge,SYN-00511,-17,0,709,0.702 kWh cooking charge,2025-06-06T12:40:00
LED-000015,BIZ-001,green_reward,SYN-00511,19,0,728,green cooking behavior reward,2025-06-06T12:40:00
LED-000016,BIZ-001,cook_charge,SYN-00570,-49,0,679,2.009 kWh cooking charge,2025-06-07T07:28:00
LED-000017,BIZ-001,cook_charge,SYN-00596,-65,0,614,2.667 kWh cooking charge,2025-06-07T12:41:00
LED-000018,BIZ-001,green_reward,SYN-00596,54,0,668,green cooking behavior reward,2025-06-07T12:41:00
LED-000019,BIZ-001,cook_charge,SYN-00655,-23,0,645,0.934 kWh cooking charge,2025-06-08T07:26:00
LED-000020,BIZ-001,cook_charge,SYN-00686,-59,0,586,2.458 kWh cooking charge,2025-06-08T12:51:00
LED-000021,BIZ-001,green_reward,SYN-00686,50,0,636,green cooking behavior reward,2025-06-08T12:51:00
LED-000022,BIZ-001,cook_charge,SYN-00754,-35,0,601,1.443 kWh cooking charge,2025-06-09T08:02:00
LED-000023,BIZ-001,cook_charge,SYN-00777,-43,0,558,1.783 kWh cooking charge,2025-06-09T13:12:00
LED-000024,BIZ-001,green_reward,SYN-00777,38,0,596,green cooking behavior reward,2025-06-09T13:12:00
LED-000025,BIZ-001,cook_charge,SYN-00845,-84,0,512,3.491 kWh cooking charge,2025-06-10T07:52:00
LED-000026,BIZ-001,cook_charge,SYN-00853,-52,0,460,2.154 kWh cooking charge,2025-06-10T07:46:00
LED-000027,BIZ-001,cook_charge,SYN-00930,-22,0,438,0.91 kWh cooking charge,2025-06-11T06:50:00
LED-000028,BIZ-001,cook_charge,SYN-01022,-31,0,407,1.257 kWh cooking charge,2025-06-12T07:02:00
LED-000029,BIZ-001,cook_charge,SYN-01140,-62,0,345,2.554 kWh cooking charge,2025-06-13T12:28:00
LED-000030,BIZ-001,green_reward,SYN-01140,52,0,397,green cooking behavior reward,2025-06-13T12:28:00
LED-000031,BIZ-001,cook_charge,SYN-01144,-47,0,350,1.933 kWh cooking charge,2025-06-13T12:58:00
LED-000032,BIZ-001,green_reward,SYN-01144,41,0,391,green cooking behavior reward,2025-06-13T12:58:00
LED-000033,BIZ-001,cook_charge,SYN-01205,-15,0,376,0.618 kWh cooking charge,2025-06-14T07:24:00
LED-000034,BIZ-001,cook_charge,SYN-01293,-42,0,334,1.728 kWh cooking charge,2025-06-15T06:58:00
LED-000035,BIZ-001,cook_charge,SYN-01418,-97,0,237,4.013 kWh cooking charge,2025-06-16T13:18:00
LED-000036,BIZ-001,green_reward,SYN-01418,78,0,315,green cooking behavior reward,2025-06-16T13:18:00
LED-000037,BIZ-001,cook_charge,SYN-01500,-99,0,216,4.105 kWh cooking charge,2025-06-17T13:00:00
LED-000038,BIZ-001,green_reward,SYN-01500,80,0,296,green cooking behavior reward,2025-06-17T13:00:00
LED-000039,BIZ-001,cook_charge,SYN-01506,-37,0,259,1.523 kWh cooking charge,2025-06-17T12:37:00
LED-000040,BIZ-001,green_reward,SYN-01506,33,0,292,green cooking behavior reward,2025-06-17T12:37:00
LED-000041,BIZ-001,cook_charge,SYN-01566,-48,0,244,1.988 kWh cooking charge,2025-06-18T07:25:00
LED-000042,BIZ-001,cook_charge,SYN-01589,-23,0,221,0.934 kWh cooking charge,2025-06-18T12:10:00
LED-000043,BIZ-001,green_reward,SYN-01589,23,0,244,green cooking behavior reward,2025-06-18T12:10:00
LED-000044,BIZ-001,cook_charge,SYN-01663,-52,0,192,2.166 kWh cooking charge,2025-06-19T08:33:00
LED-000045,BIZ-001,cook_charge,SYN-01689,-36,0,156,1.472 kWh cooking charge,2025-06-19T12:47:00
LED-000046,BIZ-001,green_reward,SYN-01689,32,0,188,green cooking behavior reward,2025-06-19T12:47:00
LED-000047,BIZ-001,cook_charge,SYN-01742,-115,0,73,4.773 kWh cooking charge,2025-06-20T08:45:00
LED-000048,BIZ-001,cook_charge,SYN-01759,-65,0,8,2.704 kWh cooking charge,2025-06-20T13:35:00
LED-000049,BIZ-001,green_reward,SYN-01759,55,0,63,green cooking behavior reward,2025-06-20T13:35:00
LED-000050,BIZ-001,top_up,,900,450,963,automatic demo top-up before cooking,2025-06-21T06:00:00
LED-000051,BIZ-001,cook_charge,SYN-01826,-105,0,858,4.367 kWh cooking charge,2025-06-21T08:28:00
LED-000052,BIZ-001,cook_charge,SYN-01829,-30,0,828,1.219 kWh cooking charge,2025-06-21T08:17:00
LED-000053,BIZ-001,cook_charge,SYN-01924,-36,0,792,1.499 kWh cooking charge,2025-06-22T08:05:00
LED-000054,BIZ-001,cook_charge,SYN-01948,-101,0,691,4.198 kWh cooking charge,2025-06-22T13:46:00
LED-000055,BIZ-001,green_reward,SYN-01948,82,0,773,green cooking behavior reward,2025-06-22T13:46:00
LED-000056,BIZ-001,cook_charge,SYN-02013,-17,0,756,0.702 kWh cooking charge,2025-06-23T07:21:00
LED-000057,BIZ-001,cook_charge,SYN-02096,-51,0,705,2.09 kWh cooking charge,2025-06-24T08:12:00
LED-000058,BIZ-001,cook_charge,SYN-02097,-68,0,637,2.825 kWh cooking charge,2025-06-24T08:03:00
LED-000059,BIZ-001,cook_charge,SYN-02178,-48,0,589,1.97 kWh cooking charge,2025-06-25T08:25:00
LED-000060,BIZ-001,cook_charge,SYN-02183,-49,0,540,2.02 kWh cooking charge,2025-06-25T08:25:00
LED-000061,BIZ-001,cook_charge,SYN-02317,-36,0,504,1.492 kWh cooking charge,2025-06-26T12:47:00
LED-000062,BIZ-001,green_reward,SYN-02317,33,0,537,green cooking behavior reward,2025-06-26T12:47:00
LED-000063,BIZ-001,cook_charge,SYN-02408,-13,0,524,0.536 kWh cooking charge,2025-06-27T12:11:00
LED-000064,BIZ-001,green_reward,SYN-02408,16,0,540,green cooking behavior reward,2025-06-27T12:11:00
LED-000065,BIZ-001,cook_charge,SYN-02414,-19,0,521,0.775 kWh cooking charge,2025-06-27T12:50:00
LED-000066,BIZ-001,green_reward,SYN-02414,20,0,541,green cooking behavior reward,2025-06-27T12:50:00
LED-000067,BIZ-001,cook_charge,SYN-02467,-59,0,482,2.458 kWh cooking charge,2025-06-28T07:17:00
LED-000068,BIZ-001,cook_charge,SYN-02504,-50,0,432,2.068 kWh cooking charge,2025-06-28T12:41:00
LED-000069,BIZ-001,green_reward,SYN-02504,43,0,475,green cooking behavior reward,2025-06-28T12:41:00
