cooker_id,account_id,entity_id,account_type,plug,observed_group,asset_type,source
C-OBS-002,HH-0007,HH-0007,household,002,B,smart_plug_ecooker,observed_smartplug
C-OBS-006,HH-0007,HH-0007,household,006,B,smart_plug_ecooker,observed_smartplug
C-OBS-010,HH-0010,HH-0010,household,010,H,smart_plug_ecooker,observed_smartplug
C-OBS-011,HH-0010,HH-0010,household,011,H,smart_plug_ecooker,observed_smartplug
C-OBS-013,HH-0018,HH-0018,household,013,E,smart_plug_ecooker,observed_smartplug
C-OBS-015,HH-0020,HH-0020,household,015,F,smart_plug_ecooker,observed_smartplug
C-OBS-017,HH-0031,HH-0031,household,017,G,smart_plug_ecooker,observed_smartplug
C-OBS-018,HH-0031,HH-0031,household,018,G,smart_plug_ecooker,observed_smartplug
C-SYN-BIZ-001,BIZ-001,BIZ-001,commercial,,,profile_estimated_ecooker,synthetic_profile
C-SYN-BIZ-002,BIZ-002,BIZ-002,commercial,,,profile_estimated_ecooker,synthetic_profile
C-SYN-BIZ-003,BIZ-003,BIZ-003,commercial,,,profile_estimated_ecooker,synthetic_profile
C-SYN-BIZ-004,BIZ-004,BIZ-004,commercial,,,profile_estimated_ecooker,synthetic_profile
C-SYN-BIZ-005,BIZ-005,BIZ-005,commercial,,,profile_estimated_ecooker,synthetic_profile
C-SYN-BIZ-006,BIZ-006,BIZ-006,commercial,,,profile_estimated_ecooker,synthetic_profile
C-SYN-BIZ-007,BIZ-007,BIZ-007,commercial,,,profile_estimated_ecooker,synthetic_profile
C-SYN-BIZ-008,BIZ-008,BIZ-008,commercial,,,profile_estimated_ecooker,synthetic_profile
C-SYN-BIZ-009,BIZ-009,BIZ-009,commercial,,,profile_estimated_ecooker,synthetic_profile
C-SYN-BIZ-010,BIZ-010,BIZ-010,commercial,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0034,HH-0034,HH-0034,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0047,HH-0047,HH-0047,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0063,HH-0063,HH-0063,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0067,HH-0067,HH-0067,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0071,HH-0071,HH-0071,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0076,HH-0076,HH-0076,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0084,HH-0084,HH-0084,household,,,profile_estimated_ecooker,synthetic_profile
C-SYN-HH-0087,HH-0087,HH-0087,household,,,profile_estimated_ecooker,synthetic_profile
