date,cooker_id,account_id,plug,source,session_count,active_minutes,available_minutes,utilization_percent,kwh,green_sessions,orange_sessions,red_sessions,observed_sessions,synthetic_sessions,peak_concurrent_cookers
2025-06-01,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-02,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-03,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-04,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-05,C-OBS-002,HH-0007,002,observed_smartplug,1,71.4,1440,4.96,1.228,1,0,0,1,0,1
2025-06-06,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-07,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-08,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-09,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-10,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-11,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-12,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-13,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-14,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-15,C-OBS-002,HH-0007,002,observed_smartplug,2,34.2,1440,2.38,0.58,2,0,0,2,0,1
2025-06-16,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-17,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-18,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-19,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-20,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-21,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-22,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-23,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
2025-06-24,C-OBS-002,HH-0007,002,observed_smartplug,4,229.7,1440,15.95,3.338,3,0,1,4,0,1
2025-06-25,C-OBS-002,HH-0007,002,observed_smartplug,2,207.3,1440,14.4,4.041,2,0,0,2,0,1
2025-06-26,C-OBS-002,HH-0007,002,observed_smartplug,0,0,1440,0.0,0,0,0,0,0,0,0
