session_id,account_id,entity_id,account_type,cooker_id,plug,observed_group,source,start_at,end_at,date,start_hour_eat,duration_minutes,kwh,avg_w,peak_w,slot_color,shifted_daytime
SYN-00001,BIZ-002,BIZ-002,commercial,C-SYN-BIZ-002,,,synthetic_profile,2025-06-01T06:00:00,2025-06-01T07:16:00,2025-06-01,6,76,0.944,745.3,1233,red,0
SYN-00002,BIZ-008,BIZ-008,commercial,C-SYN-BIZ-008,,,synthetic_profile,2025-06-01T06:05:00,2025-06-01T07:24:00,2025-06-01,6,79,1.057,802.8,2040,red,0
SYN-00003,HH-0563,HH-0563,household,C-SYN-HH-0563,,,synthetic_profile,2025-06-01T06:05:00,2025-06-01T06:40:00,2025-06-01,6,35,0.258,442.3,1844,red,0
SYN-00004,HH-0564,HH-0564,household,C-SYN-HH-0564,,,synthetic_profile,2025-06-01T06:05:00,2025-06-01T06:47:00,2025-06-01,6,42,0.483,690.0,930,red,0
SYN-00005,HH-0286,HH-0286,household,C-SYN-HH-0286,,,synthetic_profile,2025-06-01T06:10:00,2025-06-01T07:02:00,2025-06-01,6,52,0.649,748.8,1941,red,0
SYN-00006,HH-0274,HH-0274,household,C-SYN-HH-0274,,,synthetic_profile,2025-06-01T06:15:00,2025-06-01T07:06:00,2025-06-01,6,51,0.436,512.9,1092,red,0
SYN-00007,BIZ-010,BIZ-010,commercial,C-SYN-BIZ-010,,,synthetic_profile,2025-06-01T06:20:00,2025-06-01T08:14:00,2025-06-01,6,114,2.423,1275.3,1665,red,0
SYN-00008,BIZ-007,BIZ-007,commercial,C-SYN-BIZ-007,,,synthetic_profile,2025-06-01T06:30:00,2025-06-01T07:15:00,2025-06-01,6,45,0.508,677.3,1713,red,0
SYN-00009,HH-0165,HH-0165,household,C-SYN-HH-0165,,,synthetic_profile,2025-06-01T06:30:00,2025-06-01T07:00:00,2025-06-01,6,30,0.167,334.0,1821,red,0
SYN-00010,HH-0207,HH-0207,household,C-SYN-HH-0207,,,synthetic_profile,2025-06-01T06:30:00,2025-06-01T07:20:00,2025-06-01,6,50,0.702,842.4,1601,red,0
OBS-015-0069,HH-0020,HH-0020,household,C-OBS-015,015,F,observed_smartplug,2025-06-01T06:36:44.531000,2025-06-01T06:49:38.529000,2025-06-01,6,12.9,0.242,1125.3,1140.9,red,0
SYN-00012,BIZ-006,BIZ-006,commercial,C-SYN-BIZ-006,,,synthetic_profile,2025-06-01T06:40:00,2025-06-01T08:55:00,2025-06-01,6,135,4.206,1869.3,1916,red,0
SYN-00013,BIZ-009,BIZ-009,commercial,C-SYN-BIZ-009,,,synthetic_profile,2025-06-01T06:40:00,2025-06-01T09:04:00,2025-06-01,6,144,1.265,527.1,1162,red,0
SYN-00014,HH-0120,HH-0120,household,C-SYN-HH-0120,,,synthetic_profile,2025-06-01T06:40:00,2025-06-01T07:16:00,2025-06-01,6,36,0.233,388.3,1830,red,0
SYN-00015,HH-0377,HH-0377,household,C-SYN-HH-0377,,,synthetic_profile,2025-06-01T07:00:00,2025-06-01T07:35:00,2025-06-01,7,35,0.485,831.4,1999,orange,0
SYN-00016,HH-0067,HH-0067,household,C-SYN-HH-0067,,,synthetic_profile,2025-06-01T07:05:00,2025-06-01T07:32:00,2025-06-01,7,27,0.195,433.3,2034,orange,0
SYN-00017,HH-0084,HH-0084,household,C-SYN-HH-0084,,,synthetic_profile,2025-06-01T07:05:00,2025-06-01T07:32:00,2025-06-01,7,27,0.352,782.2,995,orange,0
SYN-00018,HH-0087,HH-0087,household,C-SYN-HH-0087,,,synthetic_profile,2025-06-01T07:15:00,2025-06-01T08:07:00,2025-06-01,7,52,0.44,507.7,1334,orange,0
SYN-00019,HH-0488,HH-0488,household,C-SYN-HH-0488,,,synthetic_profile,2025-06-01T07:15:00,2025-06-01T08:10:00,2025-06-01,7,55,0.664,724.4,2093,orange,0
SYN-00020,HH-0071,HH-0071,household,C-SYN-HH-0071,,,synthetic_profile,2025-06-01T07:30:00,2025-06-01T08:00:00,2025-06-01,7,30,0.295,590.0,1445,orange,0
SYN-00021,HH-0188,HH-0188,household,C-SYN-HH-0188,,,synthetic_profile,2025-06-01T07:30:00,2025-06-01T08:22:00,2025-06-01,7,52,0.582,671.5,1112,orange,0
SYN-00022,HH-0281,HH-0281,household,C-SYN-HH-0281,,,synthetic_profile,2025-06-01T07:40:00,2025-06-01T07:58:00,2025-06-01,7,18,0.212,706.7,1324,orange,0
SYN-00023,HH-0279,HH-0279,household,C-SYN-HH-0279,,,synthetic_profile,2025-06-01T08:10:00,2025-06-01T08:52:00,2025-06-01,8,42,0.484,691.4,1156,orange,0
SYN-00024,HH-0413,HH-0413,household,C-SYN-HH-0413,,,synthetic_profile,2025-06-01T08:10:00,2025-06-01T08:54:00,2025-06-01,8,44,0.541,737.7,2004,orange,0
SYN-00025,HH-0088,HH-0088,household,C-SYN-HH-0088,,,synthetic_profile,2025-06-01T08:20:00,2025-06-01T09:11:00,2025-06-01,8,51,0.703,827.1,1285,orange,0
SYN-00026,HH-0554,HH-0554,household,C-SYN-HH-0554,,,synthetic_profile,2025-06-01T08:40:00,2025-06-01T09:00:00,2025-06-01,8,20,0.268,804.0,1599,orange,0
SYN-00027,BIZ-003,BIZ-003,commercial,C-SYN-BIZ-003,,,synthetic_profile,2025-06-01T10:05:00,2025-06-01T11:57:00,2025-06-01,10,112,3.184,1705.7,1984,green,1
SYN-00028,BIZ-003,BIZ-003,commercial,C-SYN-BIZ-003,,,synthetic_profile,2025-06-01T10:10:00,2025-06-01T11:33:00,2025-06-01,10,83,1.443,1043.1,1918,green,1
SYN-00029,BIZ-005,BIZ-005,commercial,C-SYN-BIZ-005,,,synthetic_profile,2025-06-01T10:15:00,2025-06-01T12:01:00,2025-06-01,10,106,3.261,1845.8,1867,green,1
OBS-006-0019,HH-0007,HH-0007,household,C-OBS-006,006,B,observed_smartplug,2025-06-01T10:16:55.400000,2025-06-01T10:48:01.382000,2025-06-01,10,31.1,0.543,1048.1,1087.1,green,1
SYN-00031,BIZ-005,BIZ-005,commercial,C-SYN-BIZ-005,,,synthetic_profile,2025-06-01T10:40:00,2025-06-01T12:21:00,2025-06-01,10,101,1.685,1001.0,1647,green,1
SYN-00032,BIZ-001,BIZ-001,commercial,C-SYN-BIZ-001,,,synthetic_profile,2025-06-01T11:00:00,2025-06-01T12:27:00,2025-06-01,11,87,2.782,1918.6,2102,green,1
SYN-00033,HH-0063,HH-0063,household,C-SYN-HH-0063,,,synthetic_profile,2025-06-01T11:00:00,2025-06-01T11:28:00,2025-06-01,11,28,0.349,747.9,2055,green,1
SYN-00034,HH-0131,HH-0131,household,C-SYN-HH-0131,,,synthetic_profile,2025-06-01T11:00:00,2025-06-01T11:29:00,2025-06-01,11,29,0.391,809.0,1012,green,1
SYN-00035,BIZ-009,BIZ-009,commercial,C-SYN-BIZ-009,,,synthetic_profile,2025-06-01T11:05:00,2025-06-01T13:01:00,2025-06-01,11,116,2.741,1417.8,1556,green,1
SYN-00036,HH-0047,HH-0047,household,C-SYN-HH-0047,,,synthetic_profile,2025-06-01T11:05:00,2025-06-01T12:07:00,2025-06-01,11,62,0.895,866.1,1298,green,1
SYN-00037,HH-0076,HH-0076,household,C-SYN-HH-0076,,,synthetic_profile,2025-06-01T11:05:00,2025-06-01T11:26:00,2025-06-01,11,21,0.268,765.7,1714,green,1
SYN-00038,HH-0163,HH-0163,household,C-SYN-HH-0163,,,synthetic_profile,2025-06-01T11:05:00,2025-06-01T11:50:00,2025-06-01,11,45,0.501,668.0,1127,green,1
SYN-00039,HH-0179,HH-0179,household,C-SYN-HH-0179,,,synthetic_profile,2025-06-01T11:05:00,2025-06-01T11:27:00,2025-06-01,11,22,0.238,649.1,961,green,1
SYN-00040,BIZ-001,BIZ-001,commercial,C-SYN-BIZ-001,,,synthetic_profile,2025-06-01T11:10:00,2025-06-01T13:32:00,2025-06-01,11,142,1.876,792.7,2069,green,1
SYN-00041,BIZ-002,BIZ-002,commercial,C-SYN-BIZ-002,,,synthetic_profile,2025-06-01T11:10:00,2025-06-01T13:08:00,2025-06-01,11,118,3.815,1939.8,1733,green,1
SYN-00042,HH-0088,HH-0088,household,C-SYN-HH-0088,,,synthetic_profile,2025-06-01T11:20:00,2025-06-01T12:17:00,2025-06-01,11,57,0.886,932.6,924,green,1
SYN-00043,HH-0560,HH-0560,household,C-SYN-HH-0560,,,synthetic_profile,2025-06-01T11:20:00,2025-06-01T12:02:00,2025-06-01,11,42,0.308,440.0,1700,green,1
SYN-00044,BIZ-010,BIZ-010,commercial,C-SYN-BIZ-010,,,synthetic_profile,2025-06-01T11:40:00,2025-06-01T12:26:00,2025-06-01,11,46,0.499,650.9,1633,green,1
SYN-00045,HH-0274,HH-0274,household,C-SYN-HH-0274,,,synthetic_profile,2025-06-01T11:40:00,2025-06-01T12:11:00,2025-06-01,11,31,0.196,379.4,1647,green,1
SYN-00046,HH-0497,HH-0497,household,C-SYN-HH-0497,,,synthetic_profile,2025-06-01T11:40:00,2025-06-01T12:34:00,2025-06-01,11,54,0.802,891.1,1206,green,1
SYN-00047,HH-0229,HH-0229,household,C-SYN-HH-0229,,,synthetic_profile,2025-06-01T12:05:00,2025-06-01T12:48:00,2025-06-01,12,43,0.297,414.4,1030,green,1
SYN-00048,HH-0286,HH-0286,household,C-SYN-HH-0286,,,synthetic_profile,2025-06-01T12:05:00,2025-06-01T12:40:00,2025-06-01,12,35,0.184,315.4,992,green,1
SYN-00049,HH-0428,HH-0428,household,C-SYN-HH-0428,,,synthetic_profile,2025-06-01T12:05:00,2025-06-01T12:43:00,2025-06-01,12,38,0.28,442.1,1538,green,1
SYN-00050,HH-0084,HH-0084,household,C-SYN-HH-0084,,,synthetic_profile,2025-06-01T12:10:00,2025-06-01T12:40:00,2025-06-01,12,30,0.461,922.0,1692,green,1
SYN-00051,HH-0201,HH-0201,household,C-SYN-HH-0201,,,synthetic_profile,2025-06-01T12:15:00,2025-06-01T13:18:00,2025-06-01,12,63,0.359,341.9,1502,green,1
SYN-00052,HH-0421,HH-0421,household,C-SYN-HH-0421,,,synthetic_profile,2025-06-01T12:15:00,2025-06-01T12:53:00,2025-06-01,12,38,0.334,527.4,1647,green,1
SYN-00053,HH-0488,HH-0488,household,C-SYN-HH-0488,,,synthetic_profile,2025-06-01T12:15:00,2025-06-01T12:55:00,2025-06-01,12,40,0.293,439.5,1267,green,1
SYN-00054,HH-0275,HH-0275,household,C-SYN-HH-0275,,,synthetic_profile,2025-06-01T12:20:00,2025-06-01T12:47:00,2025-06-01,12,27,0.405,900.0,1850,green,1
SYN-00055,HH-0381,HH-0381,household,C-SYN-HH-0381,,,synthetic_profile,2025-06-01T12:20:00,2025-06-01T13:14:00,2025-06-01,12,54,0.612,680.0,1401,green,1
SYN-00056,HH-0284,HH-0284,household,C-SYN-HH-0284,,,synthetic_profile,2025-06-01T12:40:00,2025-06-01T13:21:00,2025-06-01,12,41,0.414,605.9,899,green,1
SYN-00057,HH-0457,HH-0457,household,C-SYN-HH-0457,,,synthetic_profile,2025-06-01T13:05:00,2025-06-01T13:29:00,2025-06-01,13,24,0.371,927.5,1806,green,1
SYN-00058,HH-0382,HH-0382,household,C-SYN-HH-0382,,,synthetic_profile,2025-06-01T13:10:00,2025-06-01T13:47:00,2025-06-01,13,37,0.378,613.0,2018,green,1
SYN-00059,HH-0187,HH-0187,household,C-SYN-HH-0187,,,synthetic_profile,2025-06-01T13:15:00,2025-06-01T13:55:00,2025-06-01,13,40,0.287,430.5,1715,green,1
SYN-00060,HH-0413,HH-0413,household,C-SYN-HH-0413,,,synthetic_profile,2025-06-01T13:20:00,2025-06-01T14:20:00,2025-06-01,13,60,0.759,759.0,1541,green,1
SYN-00061,HH-0554,HH-0554,household,C-SYN-HH-0554,,,synthetic_profile,2025-06-01T13:30:00,2025-06-01T13:59:00,2025-06-01,13,29,0.422,873.1,1907,green,1
SYN-00062,HH-0564,HH-0564,household,C-SYN-HH-0564,,,synthetic_profile,2025-06-01T13:30:00,2025-06-01T14:13:00,2025-06-01,13,43,0.481,671.2,2030,green,1
SYN-00063,HH-0374,HH-0374,household,C-SYN-HH-0374,,,synthetic_profile,2025-06-01T14:05:00,2025-06-01T14:33:00,2025-06-01,14,28,0.316,677.1,2049,green,1
SYN-00064,HH-0071,HH-0071,household,C-SYN-HH-0071,,,synthetic_profile,2025-06-01T14:10:00,2025-06-01T14:58:00,2025-06-01,14,48,0.683,853.8,1012,green,1
SYN-00065,HH-0403,HH-0403,household,C-SYN-HH-0403,,,synthetic_profile,2025-06-01T14:20:00,2025-06-01T15:18:00,2025-06-01,14,58,0.716,740.7,2082,green,1
OBS-011-0058,HH-0010,HH-0010,household,C-OBS-011,011,H,observed_smartplug,2025-06-01T14:58:08.473000,2025-06-01T15:35:00.454000,2025-06-01,14,36.9,0.621,1010.7,1069.6,green,1
OBS-018-0148,HH-0031,HH-0031,household,C-OBS-018,018,G,observed_smartplug,2025-06-01T15:43:58.249000,2025-06-01T16:10:44.603000,2025-06-01,15,26.8,0.492,1103.4,1116.1,green,1
SYN-00068,BIZ-004,BIZ-004,commercial,C-SYN-BIZ-004,,,synthetic_profile,2025-06-01T17:00:00,2025-06-01T18:23:00,2025-06-01,17,83,2.202,1591.8,2101,red,0
SYN-00069,BIZ-007,BIZ-007,commercial,C-SYN-BIZ-007,,,synthetic_profile,2025-06-01T17:05:00,2025-06-01T19:29:00,2025-06-01,17,144,3.357,1398.8,1940,red,0
SYN-00070,BIZ-008,BIZ-008,commercial,C-SYN-BIZ-008,,,synthetic_profile,2025-06-01T17:10:00,2025-06-01T18:35:00,2025-06-01,17,85,2.252,1589.6,1949,red,0
SYN-00071,HH-0187,HH-0187,household,C-SYN-HH-0187,,,synthetic_profile,2025-06-01T17:10:00,2025-06-01T17:57:00,2025-06-01,17,47,0.345,440.4,1549,red,0
SYN-00072,HH-0254,HH-0254,household,C-SYN-HH-0254,,,synthetic_profile,2025-06-01T17:30:00,2025-06-01T17:51:00,2025-06-01,17,21,0.111,317.1,1251,red,0
SYN-00073,HH-0428,HH-0428,household,C-SYN-HH-0428,,,synthetic_profile,2025-06-01T17:30:00,2025-06-01T18:25:00,2025-06-01,17,55,0.443,483.3,860,red,0
SYN-00074,HH-0163,HH-0163,household,C-SYN-HH-0163,,,synthetic_profile,2025-06-01T18:05:00,2025-06-01T18:41:00,2025-06-01,18,36,0.167,278.3,1641,red,0
SYN-00075,HH-0207,HH-0207,household,C-SYN-HH-0207,,,synthetic_profile,2025-06-01T18:05:00,2025-06-01T18:25:00,2025-06-01,18,20,0.105,315.0,1651,red,0
SYN-00076,HH-0382,HH-0382,household,C-SYN-HH-0382,,,synthetic_profile,2025-06-01T18:05:00,2025-06-01T18:51:00,2025-06-01,18,46,0.354,461.7,1001,red,0
SYN-00077,HH-0560,HH-0560,household,C-SYN-HH-0560,,,synthetic_profile,2025-06-01T18:05:00,2025-06-01T18:54:00,2025-06-01,18,49,0.257,314.7,1688,red,0
SYN-00078,HH-0188,HH-0188,household,C-SYN-HH-0188,,,synthetic_profile,2025-06-01T18:15:00,2025-06-01T18:45:00,2025-06-01,18,30,0.298,596.0,1775,red,0
SYN-00079,HH-0201,HH-0201,household,C-SYN-HH-0201,,,synthetic_profile,2025-06-01T18:15:00,2025-06-01T18:49:00,2025-06-01,18,34,0.166,292.9,1481,red,0
SYN-00080,HH-0281,HH-0281,household,C-SYN-HH-0281,,,synthetic_profile,2025-06-01T18:15:00,2025-06-01T18:58:00,2025-06-01,18,43,0.348,485.6,1730,red,0
SYN-00081,HH-0413,HH-0413,household,C-SYN-HH-0413,,,synthetic_profile,2025-06-01T18:15:00,2025-06-01T18:43:00,2025-06-01,18,28,0.139,297.9,1320,red,0
SYN-00082,HH-0047,HH-0047,household,C-SYN-HH-0047,,,synthetic_profile,2025-06-01T18:30:00,2025-06-01T18:59:00,2025-06-01,18,29,0.299,618.6,1305,red,0
SYN-00083,HH-0084,HH-0084,household,C-SYN-HH-0084,,,synthetic_profile,2025-06-01T18:30:00,2025-06-01T19:10:00,2025-06-01,18,40,0.474,711.0,1357,red,0
SYN-00084,HH-0140,HH-0140,household,C-SYN-HH-0140,,,synthetic_profile,2025-06-01T18:30:00,2025-06-01T19:02:00,2025-06-01,18,32,0.174,326.2,1631,red,0
SYN-00085,HH-0262,HH-0262,household,C-SYN-HH-0262,,,synthetic_profile,2025-06-01T18:30:00,2025-06-01T19:13:00,2025-06-01,18,43,0.274,382.3,1748,red,0
SYN-00086,HH-0303,HH-0303,household,C-SYN-HH-0303,,,synthetic_profile,2025-06-01T18:30:00,2025-06-01T18:57:00,2025-06-01,18,27,0.207,460.0,1185,red,0
SYN-00087,HH-0451,HH-0451,household,C-SYN-HH-0451,,,synthetic_profile,2025-06-01T19:05:00,2025-06-01T19:49:00,2025-06-01,19,44,0.331,451.4,1193,red,0
SYN-00088,HH-0125,HH-0125,household,C-SYN-HH-0125,,,synthetic_profile,2025-06-01T19:10:00,2025-06-01T19:55:00,2025-06-01,19,45,0.631,841.3,1821,red,0
SYN-00089,HH-0289,HH-0289,household,C-SYN-HH-0289,,,synthetic_profile,2025-06-01T19:10:00,2025-06-01T19:30:00,2025-06-01,19,20,0.138,414.0,1116,red,0
SYN-00090,HH-0339,HH-0339,household,C-SYN-HH-0339,,,synthetic_profile,2025-06-01T19:10:00,2025-06-01T19:38:00,2025-06-01,19,28,0.258,552.9,1927,red,0
