account_id,account_type,entity_id,month,ending_balance_credits,total_top_up_credits,total_reward_credits,total_spent_credits,cash_paid_kes
BIZ-001,commercial,BIZ-001,2025-06,390,2100,984,2694,1050
BIZ-002,commercial,BIZ-002,2025-06,648,2100,1013,2465,1050
BIZ-003,commercial,BIZ-003,2025-06,850,1200,2202,2552,600
BIZ-004,commercial,BIZ-004,2025-06,425,3000,0,2575,1500
BIZ-005,commercial,BIZ-005,2025-06,815,1200,2286,2671,600
BIZ-006,commercial,BIZ-006,2025-06,368,3000,0,2632,1500
BIZ-007,commercial,BIZ-007,2025-06,717,3900,0,3183,1950
BIZ-008,commercial,BIZ-008,2025-06,714,3000,0,2286,1500
BIZ-009,commercial,BIZ-009,2025-06,647,2100,1278,2731,1050
BIZ-010,commercial,BIZ-010,2025-06,589,2100,1168,2679,1050
HH-0007,household,HH-0007,2025-06,45,320,582,857,160
HH-0010,household,HH-0010,2025-06,207,320,155,268,160
HH-0018,household,HH-0018,2025-06,300,320,2,22,160
HH-0020,household,HH-0020,2025-06,135,320,237,422,160
HH-0031,household,HH-0031,2025-06,228,320,117,209,160
HH-0034,household,HH-0034,2025-06,261,320,97,156,160
HH-0047,household,HH-0047,2025-06,53,320,179,446,160
HH-0063,household,HH-0063,2025-06,88,320,227,459,160
HH-0067,household,HH-0067,2025-06,108,320,291,503,160
HH-0071,household,HH-0071,2025-06,128,320,184,376,160
HH-0076,household,HH-0076,2025-06,290,320,165,195,160
HH-0084,household,HH-0084,2025-06,102,320,249,467,160
HH-0087,household,HH-0087,2025-06,103,320,141,358,160
HH-0088,household,HH-0088,2025-06,123,320,170,367,160
HH-0120,household,HH-0120,2025-06,75,320,150,395,160
HH-0125,household,HH-0125,2025-06,168,320,211,363,160
HH-0131,household,HH-0131,2025-06,99,320,198,419,160
HH-0133,household,HH-0133,2025-06,267,320,152,205,160
HH-0140,household,HH-0140,2025-06,77,320,149,392,160
HH-0158,household,HH-0158,2025-06,93,320,175,402,160
HH-0163,household,HH-0163,2025-06,96,320,174,398,160
HH-0165,household,HH-0165,2025-06,151,320,163,332,160
HH-0179,household,HH-0179,2025-06,241,320,152,231,160
HH-0187,household,HH-0187,2025-06,101,320,208,427,160
HH-0188,household,HH-0188,2025-06,170,320,203,353,160
HH-0201,household,HH-0201,2025-06,285,320,192,227,160
HH-0205,household,HH-0205,2025-06,131,320,150,339,160
HH-0207,household,HH-0207,2025-06,100,320,166,386,160
HH-0216,household,HH-0216,2025-06,262,320,0,58,160
HH-0229,household,HH-0229,2025-06,95,320,231,456,160
HH-0254,household,HH-0254,2025-06,211,320,132,241,160
HH-0257,household,HH-0257,2025-06,84,320,193,429,160
HH-0262,household,HH-0262,2025-06,74,320,210,456,160
HH-0265,household,HH-0265,2025-06,224,320,230,326,160
HH-0274,household,HH-0274,2025-06,205,320,40,155,160
HH-0275,household,HH-0275,2025-06,178,320,152,294,160
HH-0279,household,HH-0279,2025-06,121,320,256,455,160
HH-0281,household,HH-0281,2025-06,146,320,213,387,160
HH-0282,household,HH-0282,2025-06,247,320,109,182,160
HH-0284,household,HH-0284,2025-06,257,320,108,171,160
HH-0286,household,HH-0286,2025-06,158,320,213,375,160
HH-0289,household,HH-0289,2025-06,214,320,234,340,160
HH-0303,household,HH-0303,2025-06,47,320,132,405,160
HH-0308,household,HH-0308,2025-06,275,320,0,45,160
HH-0323,household,HH-0323,2025-06,148,320,235,407,160
HH-0339,household,HH-0339,2025-06,176,320,0,144,160
HH-0347,household,HH-0347,2025-06,282,320,158,196,160
HH-0370,household,HH-0370,2025-06,159,320,29,190,160
HH-0374,household,HH-0374,2025-06,168,320,218,370,160
HH-0377,household,HH-0377,2025-06,135,320,203,388,160
HH-0381,household,HH-0381,2025-06,240,320,113,193,160
HH-0382,household,HH-0382,2025-06,268,320,170,222,160
HH-0403,household,HH-0403,2025-06,176,320,197,341,160
HH-0406,household,HH-0406,2025-06,245,320,130,205,160
HH-0413,household,HH-0413,2025-06,157,320,221,384,160
HH-0416,household,HH-0416,2025-06,255,320,177,242,160
HH-0421,household,HH-0421,2025-06,218,320,235,337,160
HH-0428,household,HH-0428,2025-06,251,320,177,246,160
HH-0433,household,HH-0433,2025-06,219,320,68,169,160
HH-0451,household,HH-0451,2025-06,216,320,0,104,160
HH-0457,household,HH-0457,2025-06,109,320,194,405,160
HH-0467,household,HH-0467,2025-06,260,320,30,90,160
HH-0469,household,HH-0469,2025-06,261,320,80,139,160
HH-0473,household,HH-0473,2025-06,163,320,182,339,160
HH-0480,household,HH-0480,2025-06,337,320,113,96,160
HH-0485,household,HH-0485,2025-06,217,320,96,199,160
HH-0488,household,HH-0488,2025-06,109,320,172,383,160
HH-0497,household,HH-0497,2025-06,125,320,183,378,160
HH-0527,household,HH-0527,2025-06,219,320,158,259,160
HH-0554,household,HH-0554,2025-06,193,320,193,320,160
HH-0560,household,HH-0560,2025-06,280,320,157,197,160
HH-0563,household,HH-0563,2025-06,89,320,171,402,160
HH-0564,household,HH-0564,2025-06,90,320,238,468,160
HH-0570,household,HH-0570,2025-06,115,320,232,437,160
