timestamp_hour,date,hour_eat,battery_soc_percent,battery_power_w,pv_dc_power_w,pv_ac_power_w,fronius_pv_power_w,ac_load_w,fronius_consumption_w,voltage_avg_v,system_alarm_count,slot_color,source
2025-06-01T00:00:00,2025-06-01,0,65.5,-1785.25,,,,1570.0,329.98,240.05,4,red,victron+fronius
2025-06-01T01:00:00,2025-06-01,1,62.0,-1584.5,,,,1391.5,329.98,239.95,4,red,victron+fronius
2025-06-01T02:00:00,2025-06-01,2,59.25,-1545.25,,,,1338.5,329.98,239.98,4,red,victron+fronius
2025-06-01T03:00:00,2025-06-01,3,56.5,-1422.0,,,,1238.0,329.98,240.1,4,red,victron+fronius
2025-06-01T04:00:00,2025-06-01,4,54.0,-1366.0,,,,1171.5,329.98,240.02,4,red,victron+fronius
2025-06-01T05:00:00,2025-06-01,5,51.25,-1310.25,,,,1144.25,329.98,239.87,4,red,victron+fronius
2025-06-01T06:00:00,2025-06-01,6,49.15,-1312.8,5.89,4.13,,1142.8,269.16,239.93,55,red,victron+fronius
2025-06-01T07:00:00,2025-06-01,7,47.5,1032.75,1449.5,1255.5,,1539.75,240.67,239.88,4,orange,victron+fronius
2025-06-01T08:00:00,2025-06-01,8,53.5,5361.75,3737.5,3639.25,,1796.75,286.67,239.97,4,orange,victron+fronius
2025-06-01T09:00:00,2025-06-01,9,67.25,9063.5,5601.75,5753.75,,1982.25,278.0,239.79,4,orange,victron+fronius
2025-06-01T10:00:00,2025-06-01,10,86.25,10733.5,6811.0,7362.0,,2710.25,457.67,240.13,4,green,victron+fronius
2025-06-01T11:00:00,2025-06-01,11,98.0,4434.86,5103.57,2922.86,,3244.57,504.67,239.96,7,green,victron+fronius
2025-06-01T12:00:00,2025-06-01,12,99.0,12.5,1029.5,2401.25,,3126.0,542.67,240.17,4,green,victron+fronius
2025-06-01T13:00:00,2025-06-01,13,99.0,-18.0,,3061.5,,2750.25,498.67,239.95,4,green,victron+fronius
2025-06-01T14:00:00,2025-06-01,14,99.0,81.25,145.75,2829.5,,2438.0,442.0,239.92,4,green,victron+fronius
2025-06-01T15:00:00,2025-06-01,15,99.0,-116.75,460.5,2904.25,,3094.5,518.0,239.85,4,green,victron+fronius
2025-06-01T16:00:00,2025-06-01,16,99.0,-38.5,706.75,2801.75,,3188.75,599.0,239.94,4,orange,victron+fronius
2025-06-01T17:00:00,2025-06-01,17,98.88,-760.12,1123.88,1372.12,,2884.0,491.0,240.0,8,red,victron+fronius
2025-06-01T18:00:00,2025-06-01,18,93.38,-3952.45,5.88,7.48,,3471.22,493.67,239.99,64,red,victron+fronius
2025-06-01T19:00:00,2025-06-01,19,91.15,-3844.88,,,,3355.85,438.29,239.98,40,red,victron+fronius
2025-06-01T20:00:00,2025-06-01,20,81.0,-4249.75,,,,3769.0,362.94,240.08,4,red,victron+fronius
2025-06-01T21:00:00,2025-06-01,21,73.0,-3826.75,,,,3407.25,362.94,239.88,4,red,victron+fronius
2025-06-01T22:00:00,2025-06-01,22,66.0,-3287.75,,,,2927.5,362.94,239.95,4,red,victron+fronius
2025-06-01T23:00:00,2025-06-01,23,60.25,-2571.0,,,,2296.5,362.94,240.02,4,red,victron+fronius
2025-06-02T00:00:00,2025-06-02,0,56.0,-1863.75,,,,1661.25,362.94,240.01,4,red,victron+fronius
2025-06-02T01:00:00,2025-06-02,1,53.0,-1464.0,,,,1289.5,362.94,239.99,4,red,victron+fronius
2025-06-02T02:00:00,2025-06-02,2,50.25,-1370.0,,,,1200.25,362.94,239.97,4,red,victron+fronius
2025-06-02T03:00:00,2025-06-02,3,48.0,-1281.25,,,,1107.25,362.94,239.95,4,red,victron+fronius
2025-06-02T04:00:00,2025-06-02,4,45.25,-1243.0,,,,1104.5,362.94,240.08,4,red,victron+fronius
2025-06-02T05:00:00,2025-06-02,5,43.0,-1249.25,,,,1088.5,362.94,239.92,4,red,victron+fronius
2025-06-02T06:00:00,2025-06-02,6,40.88,-1427.54,1.28,1.25,,1259.96,260.93,239.97,57,red,victron+fronius
2025-06-02T07:00:00,2025-06-02,7,38.5,-470.25,424.75,363.25,,1123.0,161.67,239.9,4,orange,victron+fronius
2025-06-02T08:00:00,2025-06-02,8,40.5,2284.25,1938.0,1784.0,,1258.0,203.67,239.88,4,orange,victron+fronius
2025-06-02T09:00:00,2025-06-02,9,48.25,8037.5,5057.25,4889.25,,1580.0,257.0,239.98,4,orange,victron+fronius
2025-06-02T10:00:00,2025-06-02,10,66.75,12315.25,6964.0,7464.25,,1473.75,250.33,240.07,4,green,victron+fronius
2025-06-02T11:00:00,2025-06-02,11,92.57,12198.29,7797.29,7518.43,,2656.43,303.33,240.0,7,green,victron+fronius
2025-06-02T12:00:00,2025-06-02,12,99.0,1341.2,2093.2,1865.4,,2168.6,321.0,239.95,5,green,victron+fronius
2025-06-02T13:00:00,2025-06-02,13,99.0,-12.25,,2137.75,,1895.25,357.0,240.01,4,green,victron+fronius
2025-06-02T14:00:00,2025-06-02,14,99.0,-321.75,,2165.75,,2230.25,358.0,239.96,4,green,victron+fronius
2025-06-02T15:00:00,2025-06-02,15,99.0,31.5,,2182.5,,1928.25,333.33,239.88,4,green,victron+fronius
2025-06-02T16:00:00,2025-06-02,16,99.0,163.25,437.5,2516.0,,2458.5,420.33,240.02,4,orange,victron+fronius
2025-06-02T17:00:00,2025-06-02,17,99.0,-433.5,666.5,1331.62,,2200.75,382.0,240.21,8,red,victron+fronius
2025-06-02T18:00:00,2025-06-02,18,94.58,-3292.97,2.62,2.93,,2882.49,444.67,239.97,73,red,victron+fronius
2025-06-02T19:00:00,2025-06-02,19,92.08,-3869.51,,,,3423.32,429.92,239.98,37,red,victron+fronius
2025-06-02T20:00:00,2025-06-02,20,82.5,-3273.75,,,,2929.25,358.88,239.92,4,red,victron+fronius
2025-06-02T21:00:00,2025-06-02,21,76.0,-3696.5,,,,3317.0,358.88,240.11,4,red,victron+fronius
2025-06-02T22:00:00,2025-06-02,22,69.25,-3116.0,,,,2810.0,358.88,239.92,4,red,victron+fronius
2025-06-02T23:00:00,2025-06-02,23,64.5,-2086.0,,,,1850.25,358.88,240.04,4,red,victron+fronius
2025-06-03T00:00:00,2025-06-03,0,60.5,-1896.5,,,,1683.5,358.88,240.1,4,red,victron+fronius
2025-06-03T01:00:00,2025-06-03,1,57.25,-1662.0,,,,1462.0,358.88,240.0,4,red,victron+fronius
2025-06-03T02:00:00,2025-06-03,2,54.0,-1513.75,,,,1312.25,358.88,240.03,4,red,victron+fronius
2025-06-03T03:00:00,2025-06-03,3,51.25,-1398.5,,,,1220.0,358.88,239.97,4,red,victron+fronius
2025-06-03T04:00:00,2025-06-03,4,48.75,-1463.75,,,,1261.5,358.88,240.05,4,red,victron+fronius
2025-06-03T05:00:00,2025-06-03,5,45.5,-1652.0,,,,1465.5,358.88,240.03,4,red,victron+fronius
2025-06-03T06:00:00,2025-06-03,6,42.67,-1940.32,3.95,3.62,,1725.28,309.66,240.0,57,red,victron+fronius
2025-06-03T07:00:00,2025-06-03,7,40.0,357.5,1334.5,1141.5,,1994.5,325.67,239.86,4,orange,victron+fronius
2025-06-03T08:00:00,2025-06-03,8,45.0,4754.25,3586.0,3408.0,,1988.0,306.33,239.85,4,orange,victron+fronius
2025-06-03T09:00:00,2025-06-03,9,58.0,8613.25,5243.25,5432.0,,1759.25,290.67,239.88,4,orange,victron+fronius
2025-06-03T10:00:00,2025-06-03,10,76.5,11363.25,6579.0,7121.0,,1914.5,333.0,239.88,4,green,victron+fronius
2025-06-03T11:00:00,2025-06-03,11,94.55,11238.9,6601.15,7032.15,,2075.65,325.67,239.92,20,green,victron+fronius
2025-06-03T12:00:00,2025-06-03,12,99.0,56.25,52.25,2072.25,,1805.0,316.67,239.85,4,green,victron+fronius
2025-06-03T13:00:00,2025-06-03,13,99.0,-11.0,,2117.0,,1884.0,322.67,239.97,4,green,victron+fronius
2025-06-03T14:00:00,2025-06-03,14,99.0,-35.75,,2177.0,,1979.0,379.67,239.92,4,green,victron+fronius
2025-06-03T15:00:00,2025-06-03,15,99.0,458.0,442.75,2652.75,,2494.0,396.0,240.11,4,green,victron+fronius
2025-06-03T16:00:00,2025-06-03,16,99.0,144.25,11.0,2237.0,,1870.0,336.67,239.88,4,orange,victron+fronius
2025-06-03T17:00:00,2025-06-03,17,99.0,-734.43,605.29,675.0,,1795.0,307.0,240.0,7,red,victron+fronius
2025-06-03T18:00:00,2025-06-03,18,95.03,-3057.86,4.7,5.67,,2696.25,364.33,240.01,69,red,victron+fronius
2025-06-03T19:00:00,2025-06-03,19,92.93,-3680.93,,,,3265.5,554.0,239.94,30,red,victron+fronius
2025-06-03T20:00:00,2025-06-03,20,83.0,-3911.5,,,,3534.0,,239.94,4,red,victron
2025-06-03T21:00:00,2025-06-03,21,76.0,-4345.0,,,,3913.5,,239.88,4,red,victron
2025-06-03T22:00:00,2025-06-03,22,69.0,-3022.5,,,,2704.0,,239.98,4,red,victron
2025-06-03T23:00:00,2025-06-03,23,64.0,-2258.5,,,,1997.0,,239.94,4,red,victron
2025-06-04T00:00:00,2025-06-04,0,60.5,-1695.25,,,,1493.0,352.17,239.97,4,red,victron+fronius
2025-06-04T01:00:00,2025-06-04,1,57.25,-1425.5,,,,1258.0,352.17,240.1,4,red,victron+fronius
2025-06-04T02:00:00,2025-06-04,2,54.75,-1349.0,,,,1181.5,352.17,240.01,4,red,victron+fronius
2025-06-04T03:00:00,2025-06-04,3,52.0,-1304.25,,,,1144.0,352.17,239.94,4,red,victron+fronius
2025-06-04T04:00:00,2025-06-04,4,49.5,-1399.75,,,,1223.75,352.17,239.92,4,red,victron+fronius
2025-06-04T05:00:00,2025-06-04,5,47.0,-1347.75,,,,1199.0,352.17,240.08,4,red,victron+fronius
2025-06-04T06:00:00,2025-06-04,6,44.78,-1354.42,2.97,2.41,,1197.9,241.45,239.97,60,red,victron+fronius
2025-06-04T07:00:00,2025-06-04,7,43.0,42.5,772.5,702.25,,1241.0,214.33,239.94,4,orange,victron+fronius
2025-06-04T08:00:00,2025-06-04,8,47.0,4808.5,3166.0,3317.75,,1533.5,270.0,239.83,4,orange,victron+fronius
2025-06-04T09:00:00,2025-06-04,9,56.75,7087.5,4441.5,4543.5,,1589.5,280.67,240.02,4,orange,victron+fronius
