household_id,head_person_id,occupants,children_count,income_band_kes_month,meal_count_per_day,breakfast_window,lunch_window,dinner_window,primary_equipment,secondary_equipment,fuel_stack,current_fuel_cost_kes_week,fuel_collection_minutes_week,time_spent_cooking_minutes_day,other_grid_uses,estimated_other_grid_kwh_week,secondary_microeconomic_activity,clean_cooking_readiness_score,fuel_stacking_risk,shiftable_cooking_score,is_minigrid_user,meter_status
HH-0001,P-00001,4,2,lower_middle,2,,12:00-13:00,19:00-20:00,charcoal stove,,charcoal stove,307,77,125,lighting;phone charging,0.39,milk sales,48,55,51,False,none
HH-0002,P-00005,2,1,low,3,06:00-07:00,12:00-13:00,18:00-19:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,495,408,219,lighting;phone charging,0.0,vegetable kiosk,40,64,62,False,none
HH-0003,P-00007,1,0,low,3,06:00-07:00,11:00-12:00,19:00-20:00,charcoal stove,,charcoal stove,365,120,147,lighting;phone charging,0.48,beadwork,43,55,60,False,none
HH-0004,P-00008,5,1,lower_middle,3,07:00-08:00,12:00-13:00,18:00-19:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,715,482,166,lighting;phone charging,0.37,livestock sales,49,64,67,False,none
HH-0005,P-00013,3,0,lower_middle,3,06:00-07:00,11:00-12:00,17:00-18:00,LPG stove,charcoal stove,LPG stove+charcoal stove,960,58,130,lighting;phone charging,0.1,vegetable kiosk,70,78,73,False,none
HH-0006,P-00016,1,0,low,1,,,18:00-19:00,firewood/open fire,charcoal stove,charcoal stove+firewood/open fire,459,656,55,lighting;phone charging,0.22,vegetable kiosk,26,88,38,False,none
HH-0007,P-00017,5,2,middle,3,06:00-07:00,14:00-15:00,19:00-20:00,electric pressure cooker,charcoal stove,charcoal stove+electric pressure cooker,944,45,168,lighting;phone charging;refrigeration,1.58,livestock sales,95,78,71,True,metered
HH-0008,P-00022,6,2,lower_middle,3,07:00-08:00,12:00-13:00,17:00-18:00,firewood/open fire,,firewood/open fire,131,233,206,lighting;phone charging,0.28,vegetable kiosk,36,55,43,False,none
HH-0009,P-00028,1,0,low,1,,,18:00-19:00,firewood/open fire,charcoal stove,charcoal stove+firewood/open fire,571,624,75,lighting;phone charging,0.16,livestock sales,28,88,42,False,none
HH-0010,P-00029,1,0,higher,2,,14:00-15:00,18:00-19:00,electric hob,firewood/open fire,electric hob+firewood/open fire,325,315,94,lighting;phone charging;small shop freezer;TV,0.57,livestock sales,100,78,70,True,metered
HH-0011,P-00030,1,0,middle,3,07:00-08:00,12:00-13:00,18:00-19:00,firewood/open fire,electric hob,electric hob+firewood/open fire,430,545,175,lighting;phone charging,0.04,vegetable kiosk,57,64,68,False,none
HH-0012,P-00031,5,1,low,3,06:00-07:00,12:00-13:00,18:00-19:00,firewood/open fire,electric hob,electric hob+firewood/open fire,682,585,178,lighting;phone charging,0.27,livestock sales,40,64,62,False,none
HH-0013,P-00036,3,1,low,1,,,19:00-20:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,326,237,88,lighting;phone charging,0.34,livestock sales,36,64,51,False,none
HH-0014,P-00039,4,1,lower_middle,2,,12:00-13:00,18:00-19:00,charcoal stove,,charcoal stove,563,25,101,lighting;phone charging,0.11,livestock sales,48,55,50,False,none
HH-0015,P-00043,6,2,low,3,08:00-09:00,12:00-13:00,19:00-20:00,firewood/open fire,,firewood/open fire,271,507,206,lighting;phone charging,0.19,casual labor,29,55,47,False,none
HH-0016,P-00049,2,0,low,3,08:00-09:00,14:00-15:00,18:00-19:00,firewood/open fire,,firewood/open fire,172,684,144,lighting;phone charging,0.33,casual labor,33,55,59,False,none
HH-0017,P-00051,1,0,low,2,,12:00-13:00,17:00-18:00,charcoal stove,electric pressure cooker,charcoal stove+electric pressure cooker,462,49,122,lighting;phone charging,0.25,vegetable kiosk,55,64,79,False,none
HH-0018,P-00052,5,1,middle,3,06:00-07:00,12:00-13:00,18:00-19:00,electric pressure cooker,,electric pressure cooker,220,34,117,lighting;phone charging;radio;water pump;TV,2.78,casual labor,96,20,72,True,metered
HH-0019,P-00057,4,2,low,3,07:00-08:00,13:00-14:00,17:00-18:00,firewood/open fire,charcoal stove,charcoal stove+firewood/open fire,626,386,228,lighting;phone charging,0.13,livestock sales,33,88,59,False,none
HH-0020,P-00061,1,0,higher,3,08:00-09:00,12:00-13:00,19:00-20:00,LPG stove,,LPG stove,920,1,137,lighting;phone charging;refrigeration,1.97,casual labor,100,20,73,True,metered
HH-0021,P-00062,3,1,low,2,,13:00-14:00,19:00-20:00,charcoal stove,electric hob,charcoal stove+electric hob,442,69,100,lighting;phone charging,0.37,milk sales,51,64,66,False,none
HH-0022,P-00065,1,0,middle,3,07:00-08:00,12:00-13:00,19:00-20:00,charcoal stove,firewood/open fire,charcoal stove+firewood/open fire,790,490,157,lighting;phone charging,0.23,casual labor,57,88,52,False,none
HH-0023,P-00066,4,2,lower_middle,2,,12:00-13:00,18:00-19:00,firewood/open fire,,firewood/open fire,139,703,112,lighting;phone charging,0.15,livestock sales,38,55,51,False,none
HH-0024,P-00070,1,0,low,2,,11:00-12:00,18:00-19:00,firewood/open fire,,firewood/open fire,122,691,124,lighting;phone charging,0.36,beadwork,31,55,53,False,none
HH-0025,P-00071,3,2,low,3,07:00-08:00,12:00-13:00,17:00-18:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,995,434,158,lighting;phone charging,0.31,milk sales,44,64,76,False,none
HH-0026,P-00074,1,0,middle,1,,,18:00-19:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,197,490,49,lighting;phone charging,0.19,casual labor,69,78,43,False,none
HH-0027,P-00075,2,1,low,2,,12:00-13:00,17:00-18:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,457,561,105,lighting;phone charging,0.14,casual labor,41,64,67,False,none
HH-0028,P-00077,5,4,lower_middle,3,07:00-08:00,12:00-13:00,18:00-19:00,firewood/open fire,,firewood/open fire,126,489,178,lighting;phone charging,0.13,none,36,55,44,False,none
HH-0029,P-00082,2,1,lower_middle,3,07:00-08:00,12:00-13:00,18:00-19:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,237,667,117,lighting;phone charging,0.01,livestock sales,68,78,67,False,none
HH-0030,P-00084,4,0,lower_middle,2,,12:00-13:00,18:00-19:00,firewood/open fire,,firewood/open fire,244,459,132,lighting;phone charging,0.01,casual labor,41,55,61,False,none
HH-0031,P-00088,6,1,higher,2,,13:00-14:00,17:00-18:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,324,218,117,lighting;phone charging;water pump,1.52,beadwork,100,78,67,True,metered
HH-0032,P-00094,3,0,lower_middle,2,,14:00-15:00,17:00-18:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,350,468,144,lighting;phone charging,0.1,vegetable kiosk,48,64,62,False,none
HH-0033,P-00097,3,0,lower_middle,1,,,18:00-19:00,LPG stove,firewood/open fire,LPG stove+firewood/open fire,875,181,63,lighting;phone charging,0.02,casual labor,63,78,49,False,none
HH-0034,P-00100,6,3,middle,3,07:00-08:00,12:00-13:00,18:00-19:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1466,31,173,lighting;phone charging;TV,1.35,milk sales,97,78,76,True,metered
HH-0035,P-00106,4,1,lower_middle,2,,12:00-13:00,17:00-18:00,charcoal stove,,charcoal stove,674,67,136,lighting;phone charging,0.27,vegetable kiosk,49,55,54,False,none
HH-0036,P-00110,5,1,low,3,07:00-08:00,12:00-13:00,18:00-19:00,charcoal stove,electric hob,charcoal stove+electric hob,973,79,179,lighting;phone charging,0.38,livestock sales,55,64,79,False,none
HH-0037,P-00115,7,2,lower_middle,2,,13:00-14:00,17:00-18:00,LPG stove,firewood/open fire,LPG stove+firewood/open fire,1080,622,98,lighting;phone charging,0.3,milk sales,71,78,78,False,none
HH-0038,P-00122,2,1,lower_middle,3,07:00-08:00,12:00-13:00,19:00-20:00,charcoal stove,,charcoal stove,704,79,173,lighting;phone charging,0.38,milk sales,49,55,54,False,none
HH-0039,P-00124,1,0,lower_middle,3,06:00-07:00,14:00-15:00,18:00-19:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,464,529,201,lighting;phone charging,0.32,casual labor,52,64,77,False,none
HH-0040,P-00125,3,1,low,2,,12:00-13:00,18:00-19:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1553,30,100,lighting;phone charging,0.44,none,60,78,67,False,none
HH-0041,P-00128,5,0,lower_middle,3,07:00-08:00,13:00-14:00,18:00-19:00,charcoal stove,electric hob,charcoal stove+electric hob,605,90,160,lighting;phone charging,0.37,casual labor,63,64,79,False,none
HH-0042,P-00133,1,0,low,3,06:00-07:00,13:00-14:00,19:00-20:00,charcoal stove,electric hob,charcoal stove+electric hob,1073,90,161,lighting;phone charging,0.26,milk sales,52,64,71,False,none
HH-0043,P-00134,4,1,middle,3,06:00-07:00,12:00-13:00,17:00-18:00,charcoal stove,electric hob,charcoal stove+electric hob,960,48,204,lighting;phone charging,0.32,livestock sales,69,64,74,False,none
HH-0044,P-00138,1,0,middle,3,06:00-07:00,11:00-12:00,17:00-18:00,LPG stove,firewood/open fire,LPG stove+firewood/open fire,718,687,110,lighting;phone charging,0.46,casual labor,74,78,61,False,none
HH-0045,P-00139,4,3,low,3,06:00-07:00,12:00-13:00,19:00-20:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,1288,278,179,lighting;phone charging,0.01,livestock sales,42,64,70,False,none
HH-0046,P-00143,6,3,low,3,06:00-07:00,12:00-13:00,19:00-20:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,412,643,180,lighting;phone charging,0.21,vegetable kiosk,40,64,63,False,none
