rank,account_id,entity_id,account_type,display_name,leaderboard_group,sessions,kwh,green_sessions,orange_sessions,red_sessions,green_window_share,shifted_daytime_sessions,credits_earned,credits_spent,ending_balance_credits,cash_paid_kes,fuel_stacking_risk_days,score,privacy_level
1,BIZ-005,BIZ-005,commercial,Business BIZ-005,commercial,50,110.354,50,0,0,1.0,50,2286,2671,815,600,30,2986,synthetic_id_only
2,BIZ-003,BIZ-003,commercial,Business BIZ-003,commercial,51,105.283,51,0,0,1.0,51,2202,2552,850,600,30,2916,synthetic_id_only
3,BIZ-009,BIZ-009,commercial,Business BIZ-009,commercial,51,112.652,27,0,24,0.529,27,1278,2731,647,1050,30,1560,synthetic_id_only
4,BIZ-010,BIZ-010,commercial,Business BIZ-010,commercial,51,110.57,27,0,24,0.529,27,1168,2679,589,1050,30,1450,synthetic_id_only
5,BIZ-002,BIZ-002,commercial,Business BIZ-002,commercial,49,101.577,22,0,27,0.449,22,1013,2465,648,1050,30,1213,synthetic_id_only
6,BIZ-001,BIZ-001,commercial,Business BIZ-001,commercial,50,111.292,22,0,28,0.44,22,984,2694,390,1050,30,1180,synthetic_id_only
7,HH-0007,HH-0007,household,Household HH-0007,household,38,34.956,20,2,16,0.526,20,582,857,45,160,30,802,synthetic_id_only
8,HH-0067,HH-0067,household,Household HH-0067,household,43,20.149,18,10,15,0.419,18,291,503,108,160,30,503,synthetic_id_only
9,HH-0020,HH-0020,household,Household HH-0020,household,64,16.38,18,24,22,0.281,19,237,422,135,160,0,457,synthetic_id_only
10,HH-0279,HH-0279,household,Household HH-0279,household,44,18.015,15,13,16,0.341,15,256,455,121,160,0,428,synthetic_id_only
11,HH-0265,HH-0265,household,Household HH-0265,household,35,12.762,18,0,17,0.514,18,230,326,224,160,0,414,synthetic_id_only
12,HH-0421,HH-0421,household,Household HH-0421,household,30,13.402,16,0,14,0.533,16,235,337,218,160,0,403,synthetic_id_only
13,HH-0084,HH-0084,household,Household HH-0084,household,46,18.527,15,10,21,0.326,15,249,467,102,160,30,395,synthetic_id_only
14,HH-0323,HH-0323,household,Household HH-0323,household,39,16.064,14,10,15,0.359,14,235,407,148,160,0,391,synthetic_id_only
15,HH-0289,HH-0289,household,Household HH-0289,household,29,13.539,15,0,14,0.517,15,234,340,214,160,0,388,synthetic_id_only
16,HH-0570,HH-0570,household,Household HH-0570,household,39,17.369,13,13,13,0.333,13,232,437,115,160,30,388,synthetic_id_only
17,HH-0413,HH-0413,household,Household HH-0413,household,37,15.138,14,10,13,0.378,14,221,384,157,160,30,385,synthetic_id_only
18,HH-0374,HH-0374,household,Household HH-0374,household,38,14.47,14,10,14,0.368,14,218,370,168,160,0,378,synthetic_id_only
19,HH-0229,HH-0229,household,Household HH-0229,household,42,18.06,14,9,19,0.333,14,231,456,95,160,0,369,synthetic_id_only
20,HH-0281,HH-0281,household,Household HH-0281,household,39,15.242,14,9,16,0.359,14,213,387,146,160,30,363,synthetic_id_only
21,HH-0125,HH-0125,household,Household HH-0125,household,30,14.374,15,0,15,0.5,15,211,363,168,160,0,361,synthetic_id_only
22,HH-0286,HH-0286,household,Household HH-0286,household,37,14.829,16,0,21,0.432,16,213,375,158,160,0,353,synthetic_id_only
23,HH-0201,HH-0201,household,Household HH-0201,household,20,9.122,13,0,7,0.65,13,192,227,285,160,0,346,synthetic_id_only
24,HH-0564,HH-0564,household,Household HH-0564,household,42,18.579,15,0,27,0.357,15,238,468,90,160,0,340,synthetic_id_only
25,HH-0457,HH-0457,household,Household HH-0457,household,39,16.057,13,11,15,0.333,13,194,405,109,160,30,338,synthetic_id_only
26,HH-0554,HH-0554,household,Household HH-0554,household,27,12.765,11,9,7,0.407,11,193,320,193,160,30,337,synthetic_id_only
27,HH-0063,HH-0063,household,Household HH-0063,household,49,18.039,17,0,32,0.347,17,227,459,88,160,30,337,synthetic_id_only
28,HH-0377,HH-0377,household,Household HH-0377,household,40,15.341,13,10,17,0.325,13,203,388,135,160,0,337,synthetic_id_only
29,HH-0188,HH-0188,household,Household HH-0188,household,39,13.97,13,8,18,0.333,13,203,353,170,160,0,329,synthetic_id_only
30,HH-0403,HH-0403,household,Household HH-0403,household,32,13.593,12,7,13,0.375,12,197,341,176,160,30,327,synthetic_id_only
31,HH-0187,HH-0187,household,Household HH-0187,household,39,17.008,15,0,24,0.385,15,208,427,101,160,30,322,synthetic_id_only
32,HH-0076,HH-0076,household,Household HH-0076,household,24,7.701,14,0,10,0.583,14,165,195,290,160,30,321,synthetic_id_only
