person_id,household_id,age_band,gender,role,student_or_worker_status,primary_activity
P-00001,HH-0001,35-44,male,household_head,worker,casual_labor
P-00002,HH-0001,0-5,male,child,dependent,retail_trade
P-00003,HH-0001,6-12,male,child,student,casual_labor
P-00004,HH-0001,25-34,female,adult,caregiver,retail_trade
P-00005,HH-0002,35-44,female,household_head,worker,retail_trade
P-00006,HH-0002,0-5,male,child,dependent,casual_labor
P-00007,HH-0003,35-44,female,household_head,worker,retail_trade
P-00008,HH-0004,55-64,male,household_head,worker,home_care
P-00009,HH-0004,18-24,female,adult,worker,retail_trade
P-00010,HH-0004,55-64,male,adult,worker,casual_labor
P-00011,HH-0004,13-17,male,child,student,casual_labor
P-00012,HH-0004,25-34,male,adult,worker,home_care
P-00013,HH-0005,35-44,male,household_head,worker,livestock
P-00014,HH-0005,45-54,female,adult,worker,casual_labor
P-00015,HH-0005,35-44,male,adult,worker,home_care
P-00016,HH-0006,35-44,male,household_head,worker,casual_labor
P-00017,HH-0007,25-34,female,household_head,worker,livestock
P-00018,HH-0007,25-34,male,adult,worker,livestock
P-00019,HH-0007,65+,female,adult,dependent,retail_trade
P-00020,HH-0007,0-5,male,child,dependent,home_care
P-00021,HH-0007,13-17,female,child,student,home_care
P-00022,HH-0008,25-34,male,household_head,worker,livestock
P-00023,HH-0008,13-17,male,child,student,school
P-00024,HH-0008,35-44,female,adult,worker,other
P-00025,HH-0008,25-34,female,adult,worker,retail_trade
P-00026,HH-0008,13-17,female,child,student,school
P-00027,HH-0008,35-44,male,adult,worker,livestock
P-00028,HH-0009,45-54,male,household_head,worker,casual_labor
P-00029,HH-0010,35-44,female,household_head,worker,home_care
P-00030,HH-0011,35-44,female,household_head,worker,home_care
P-00031,HH-0012,35-44,female,household_head,worker,home_care
P-00032,HH-0012,25-34,female,adult,worker,livestock
P-00033,HH-0012,25-34,male,adult,worker,casual_labor
P-00034,HH-0012,13-17,female,child,student,school
P-00035,HH-0012,18-24,male,adult,worker,livestock
P-00036,HH-0013,35-44,female,household_head,worker,livestock
P-00037,HH-0013,0-5,male,child,dependent,retail_trade
P-00038,HH-0013,35-44,male,adult,caregiver,retail_trade
P-00039,HH-0014,35-44,female,household_head,worker,livestock
P-00040,HH-0014,45-54,female,adult,worker,restaurant_work
P-00041,HH-0014,6-12,male,child,student,casual_labor
P-00042,HH-0014,25-34,male,adult,worker,home_care
P-00043,HH-0015,35-44,female,household_head,worker,retail_trade
P-00044,HH-0015,45-54,male,adult,worker,home_care
P-00045,HH-0015,25-34,female,adult,worker,livestock
P-00046,HH-0015,0-5,female,child,dependent,home_care
P-00047,HH-0015,18-24,female,adult,worker,home_care
P-00048,HH-0015,6-12,male,child,student,school
P-00049,HH-0016,35-44,female,household_head,worker,home_care
P-00050,HH-0016,25-34,male,adult,worker,livestock
P-00051,HH-0017,55-64,female,household_head,caregiver,home_care
P-00052,HH-0018,25-34,female,household_head,worker,casual_labor
P-00053,HH-0018,18-24,male,adult,worker,restaurant_work
P-00054,HH-0018,0-5,female,child,dependent,retail_trade
P-00055,HH-0018,25-34,female,adult,worker,retail_trade
P-00056,HH-0018,25-34,female,adult,worker,restaurant_work
P-00057,HH-0019,35-44,male,household_head,worker,livestock
P-00058,HH-0019,13-17,male,child,student,school
P-00059,HH-0019,6-12,female,child,student,home_care
P-00060,HH-0019,65+,female,adult,dependent,livestock
P-00061,HH-0020,55-64,male,household_head,worker,retail_trade
P-00062,HH-0021,45-54,male,household_head,worker,retail_trade
P-00063,HH-0021,25-34,male,adult,worker,casual_labor
P-00064,HH-0021,6-12,female,child,student,home_care
P-00065,HH-0022,55-64,male,household_head,worker,casual_labor
P-00066,HH-0023,45-54,male,household_head,worker,livestock
P-00067,HH-0023,13-17,female,child,student,school
P-00068,HH-0023,0-5,male,child,dependent,casual_labor
P-00069,HH-0023,55-64,male,adult,worker,casual_labor
P-00070,HH-0024,25-34,male,household_head,worker,retail_trade
P-00071,HH-0025,35-44,female,household_head,worker,livestock
P-00072,HH-0025,13-17,male,child,student,school
P-00073,HH-0025,13-17,female,child,student,casual_labor
P-00074,HH-0026,25-34,male,household_head,worker,casual_labor
P-00075,HH-0027,45-54,male,household_head,worker,casual_labor
P-00076,HH-0027,6-12,male,child,student,retail_trade
P-00077,HH-0028,25-34,male,household_head,worker,retail_trade
P-00078,HH-0028,13-17,male,child,student,restaurant_work
P-00079,HH-0028,13-17,female,child,student,casual_labor
P-00080,HH-0028,0-5,male,child,caregiver,retail_trade
P-00081,HH-0028,13-17,female,child,student,home_care
P-00082,HH-0029,45-54,female,household_head,worker,casual_labor
P-00083,HH-0029,13-17,male,child,student,livestock
P-00084,HH-0030,45-54,female,household_head,worker,restaurant_work
P-00085,HH-0030,65+,female,adult,caregiver,home_care
P-00086,HH-0030,25-34,male,adult,worker,livestock
P-00087,HH-0030,35-44,male,adult,caregiver,home_care
P-00088,HH-0031,25-34,female,household_head,worker,retail_trade
P-00089,HH-0031,18-24,male,adult,worker,casual_labor
P-00090,HH-0031,35-44,male,adult,worker,livestock
P-00091,HH-0031,25-34,male,adult,worker,casual_labor
P-00092,HH-0031,0-5,female,child,dependent,casual_labor
P-00093,HH-0031,18-24,male,adult,worker,casual_labor
P-00094,HH-0032,25-34,male,household_head,worker,home_care
P-00095,HH-0032,25-34,female,adult,worker,retail_trade
P-00096,HH-0032,25-34,male,adult,worker,livestock
P-00097,HH-0033,55-64,female,household_head,worker,retail_trade
P-00098,HH-0033,35-44,female,adult,worker,retail_trade
P-00099,HH-0033,25-34,female,adult,worker,livestock
P-00100,HH-0034,25-34,male,household_head,worker,restaurant_work
P-00101,HH-0034,18-24,female,adult,worker,retail_trade
P-00102,HH-0034,13-17,male,child,student,home_care
P-00103,HH-0034,6-12,female,child,student,casual_labor
P-00104,HH-0034,25-34,female,adult,worker,casual_labor
P-00105,HH-0034,0-5,male,child,dependent,retail_trade
P-00106,HH-0035,25-34,female,household_head,caregiver,casual_labor
P-00107,HH-0035,55-64,female,adult,worker,retail_trade
P-00108,HH-0035,0-5,female,child,dependent,casual_labor
P-00109,HH-0035,25-34,male,adult,worker,restaurant_work
P-00110,HH-0036,35-44,male,household_head,caregiver,retail_trade
P-00111,HH-0036,18-24,male,adult,worker,casual_labor
P-00112,HH-0036,45-54,female,adult,worker,livestock
P-00113,HH-0036,6-12,male,child,student,school
P-00114,HH-0036,18-24,female,adult,worker,other
P-00115,HH-0037,35-44,female,household_head,worker,casual_labor
P-00116,HH-0037,18-24,female,adult,worker,livestock
P-00117,HH-0037,6-12,male,child,student,school
P-00118,HH-0037,18-24,male,adult,worker,casual_labor
P-00119,HH-0037,18-24,male,adult,worker,casual_labor
P-00120,HH-0037,18-24,female,adult,worker,home_care
P-00121,HH-0037,6-12,male,child,student,livestock
P-00122,HH-0038,35-44,male,household_head,worker,livestock
P-00123,HH-0038,0-5,male,child,dependent,livestock
P-00124,HH-0039,45-54,male,household_head,worker,home_care
P-00125,HH-0040,35-44,male,household_head,worker,casual_labor
P-00126,HH-0040,35-44,female,adult,caregiver,home_care
P-00127,HH-0040,0-5,male,child,dependent,casual_labor
P-00128,HH-0041,55-64,male,household_head,worker,livestock
P-00129,HH-0041,18-24,male,adult,worker,livestock
P-00130,HH-0041,25-34,male,adult,worker,home_care
P-00131,HH-0041,35-44,male,adult,worker,casual_labor
P-00132,HH-0041,35-44,male,adult,worker,livestock
P-00133,HH-0042,65+,female,household_head,dependent,casual_labor
P-00134,HH-0043,55-64,male,household_head,worker,livestock
P-00135,HH-0043,35-44,female,adult,caregiver,restaurant_work
P-00136,HH-0043,13-17,female,child,student,other
P-00137,HH-0043,65+,female,adult,dependent,restaurant_work
P-00138,HH-0044,45-54,male,household_head,worker,livestock
P-00139,HH-0045,25-34,male,household_head,caregiver,casual_labor
P-00140,HH-0045,13-17,female,child,student,school
P-00141,HH-0045,0-5,female,child,dependent,home_care
P-00142,HH-0045,6-12,male,child,student,school
P-00143,HH-0046,55-64,female,household_head,worker,home_care
P-00144,HH-0046,18-24,female,adult,worker,livestock
P-00145,HH-0046,6-12,male,child,student,casual_labor
P-00146,HH-0046,18-24,male,adult,worker,livestock
P-00147,HH-0046,6-12,male,child,student,school
P-00148,HH-0046,13-17,male,child,student,livestock
P-00149,HH-0047,35-44,male,household_head,worker,livestock
P-00150,HH-0047,35-44,female,adult,worker,casual_labor
P-00151,HH-0047,13-17,male,child,student,casual_labor
P-00152,HH-0047,35-44,female,adult,worker,retail_trade
P-00153,HH-0047,18-24,female,adult,caregiver,restaurant_work
P-00154,HH-0047,13-17,female,child,student,school
P-00155,HH-0048,65+,female,household_head,caregiver,casual_labor
P-00156,HH-0048,6-12,male,child,student,restaurant_work
P-00157,HH-0048,13-17,male,child,student,school
P-00158,HH-0049,25-34,male,household_head,caregiver,livestock
P-00159,HH-0049,55-64,male,adult,caregiver,retail_trade
P-00160,HH-0049,25-34,female,adult,worker,casual_labor
P-00161,HH-0049,13-17,female,child,student,restaurant_work
P-00162,HH-0049,6-12,female,child,student,restaurant_work
P-00163,HH-0049,18-24,male,adult,caregiver,casual_labor
P-00164,HH-0050,25-34,male,household_head,worker,retail_trade
P-00165,HH-0050,35-44,male,adult,worker,retail_trade
P-00166,HH-0050,35-44,male,adult,worker,livestock
P-00167,HH-0050,6-12,male,child,student,livestock
P-00168,HH-0051,25-34,female,household_head,worker,livestock
P-00169,HH-0052,25-34,female,household_head,worker,school
P-00170,HH-0052,13-17,female,child,student,restaurant_work
P-00171,HH-0052,55-64,male,adult,caregiver,home_care
P-00172,HH-0052,25-34,male,adult,worker,livestock
P-00173,HH-0053,25-34,female,household_head,worker,casual_labor
P-00174,HH-0053,13-17,male,child,student,home_care
P-00175,HH-0053,25-34,female,adult,worker,livestock
P-00176,HH-0053,13-17,male,child,student,school
P-00177,HH-0054,65+,male,household_head,dependent,home_care
P-00178,HH-0054,35-44,female,adult,caregiver,restaurant_work
P-00179,HH-0054,18-24,female,adult,worker,home_care
P-00180,HH-0054,6-12,female,child,student,casual_labor
P-00181,HH-0055,35-44,female,household_head,worker,other
P-00182,HH-0055,6-12,female,child,student,school
P-00183,HH-0056,35-44,female,household_head,worker,casual_labor
P-00184,HH-0056,18-24,female,adult,caregiver,casual_labor
P-00185,HH-0056,6-12,male,child,student,home_care
P-00186,HH-0056,13-17,female,child,student,home_care
P-00187,HH-0056,13-17,male,child,student,school
P-00188,HH-0057,35-44,male,household_head,caregiver,retail_trade
P-00189,HH-0057,13-17,male,child,student,livestock
P-00190,HH-0057,0-5,male,child,dependent,retail_trade
P-00191,HH-0057,18-24,female,adult,worker,home_care
P-00192,HH-0057,25-34,female,adult,worker,retail_trade
P-00193,HH-0057,6-12,female,child,student,home_care
P-00194,HH-0057,55-64,male,adult,worker,casual_labor
P-00195,HH-0058,25-34,female,household_head,worker,livestock
P-00196,HH-0058,13-17,male,child,student,casual_labor
P-00197,HH-0059,25-34,female,household_head,worker,home_care
P-00198,HH-0059,35-44,male,adult,worker,livestock
P-00199,HH-0059,0-5,male,child,dependent,retail_trade
P-00200,HH-0059,13-17,female,child,student,livestock
P-00201,HH-0060,45-54,female,household_head,worker,casual_labor
P-00202,HH-0061,45-54,male,household_head,worker,livestock
P-00203,HH-0061,18-24,male,adult,caregiver,retail_trade
P-00204,HH-0061,13-17,female,child,student,home_care
P-00205,HH-0061,18-24,female,adult,worker,retail_trade
P-00206,HH-0061,18-24,female,adult,caregiver,home_care
P-00207,HH-0061,35-44,male,adult,worker,retail_trade
P-00208,HH-0062,35-44,male,household_head,worker,home_care
P-00209,HH-0062,45-54,female,adult,worker,other
P-00210,HH-0063,45-54,male,household_head,worker,casual_labor
P-00211,HH-0063,13-17,female,child,student,retail_trade
P-00212,HH-0063,45-54,male,adult,worker,home_care
P-00213,HH-0063,18-24,female,adult,caregiver,livestock
P-00214,HH-0063,18-24,female,adult,caregiver,casual_labor
P-00215,HH-0063,18-24,female,adult,worker,retail_trade
P-00216,HH-0064,25-34,female,household_head,caregiver,casual_labor
P-00217,HH-0065,35-44,female,household_head,worker,home_care
P-00218,HH-0065,18-24,male,adult,worker,retail_trade
P-00219,HH-0065,18-24,female,adult,worker,casual_labor
P-00220,HH-0065,25-34,male,adult,worker,retail_trade
P-00221,HH-0065,6-12,female,child,student,school
P-00222,HH-0066,25-34,male,household_head,worker,home_care
P-00223,HH-0067,25-34,male,household_head,worker,retail_trade
P-00224,HH-0068,25-34,female,household_head,worker,home_care
P-00225,HH-0068,35-44,female,adult,worker,livestock
P-00226,HH-0068,13-17,female,child,student,school
P-00227,HH-0069,45-54,female,household_head,worker,home_care
P-00228,HH-0070,25-34,female,household_head,worker,restaurant_work
P-00229,HH-0071,55-64,male,household_head,worker,retail_trade
P-00230,HH-0071,18-24,female,adult,worker,livestock
P-00231,HH-0072,45-54,female,household_head,worker,livestock
P-00232,HH-0072,18-24,female,adult,worker,livestock
P-00233,HH-0072,0-5,female,child,dependent,casual_labor
P-00234,HH-0073,35-44,female,household_head,caregiver,home_care
P-00235,HH-0073,45-54,female,adult,worker,casual_labor
P-00236,HH-0073,13-17,female,child,student,livestock
P-00237,HH-0073,0-5,male,child,dependent,retail_trade
P-00238,HH-0073,18-24,female,adult,caregiver,home_care
P-00239,HH-0074,25-34,male,household_head,worker,casual_labor
P-00240,HH-0074,25-34,female,adult,worker,casual_labor
P-00241,HH-0074,6-12,male,child,student,livestock
P-00242,HH-0075,25-34,male,household_head,worker,casual_labor
P-00243,HH-0075,6-12,female,child,student,school
P-00244,HH-0075,0-5,female,child,caregiver,home_care
P-00245,HH-0075,35-44,female,adult,caregiver,casual_labor
P-00246,HH-0076,55-64,female,household_head,worker,restaurant_work
P-00247,HH-0076,25-34,female,adult,worker,home_care
P-00248,HH-0076,6-12,male,child,student,retail_trade
P-00249,HH-0077,45-54,male,household_head,worker,restaurant_work
P-00250,HH-0077,6-12,male,child,student,casual_labor
P-00251,HH-0078,45-54,male,household_head,worker,retail_trade
P-00252,HH-0079,35-44,male,household_head,worker,retail_trade
P-00253,HH-0079,6-12,male,child,student,home_care
P-00254,HH-0079,25-34,female,adult,worker,livestock
P-00255,HH-0079,25-34,male,adult,worker,retail_trade
P-00256,HH-0080,35-44,female,household_head,worker,casual_labor
P-00257,HH-0080,0-5,male,child,dependent,livestock
P-00258,HH-0080,13-17,male,child,student,home_care
P-00259,HH-0080,18-24,female,adult,caregiver,restaurant_work
P-00260,HH-0081,35-44,female,household_head,worker,retail_trade
P-00261,HH-0081,13-17,male,child,student,restaurant_work
P-00262,HH-0082,35-44,female,household_head,worker,home_care
P-00263,HH-0082,35-44,female,adult,caregiver,livestock
P-00264,HH-0082,35-44,female,adult,worker,livestock
P-00265,HH-0083,55-64,female,household_head,worker,home_care
P-00266,HH-0083,0-5,female,child,caregiver,home_care
P-00267,HH-0083,18-24,male,adult,worker,home_care
P-00268,HH-0083,6-12,male,child,student,home_care
P-00269,HH-0084,45-54,male,household_head,worker,school
P-00270,HH-0085,45-54,female,household_head,worker,retail_trade
P-00271,HH-0085,6-12,male,child,student,school
P-00272,HH-0085,55-64,male,adult,worker,livestock
P-00273,HH-0085,6-12,male,child,student,school
P-00274,HH-0085,35-44,female,adult,worker,retail_trade
P-00275,HH-0086,45-54,male,household_head,worker,other
P-00276,HH-0087,55-64,female,household_head,worker,retail_trade
P-00277,HH-0087,25-34,female,adult,worker,retail_trade
P-00278,HH-0087,25-34,male,adult,worker,casual_labor
P-00279,HH-0087,45-54,female,adult,worker,casual_labor
P-00280,HH-0087,6-12,female,child,student,home_care
P-00281,HH-0088,25-34,male,household_head,worker,casual_labor
P-00282,HH-0088,13-17,female,child,student,school
P-00283,HH-0088,25-34,male,adult,worker,retail_trade
P-00284,HH-0088,6-12,female,child,student,other
P-00285,HH-0089,25-34,male,household_head,caregiver,retail_trade
P-00286,HH-0089,6-12,female,child,student,school
P-00287,HH-0089,6-12,male,child,student,home_care
P-00288,HH-0090,35-44,female,household_head,worker,casual_labor
P-00289,HH-0090,18-24,male,adult,worker,other
P-00290,HH-0090,25-34,female,adult,worker,school
P-00291,HH-0091,25-34,female,household_head,worker,retail_trade
P-00292,HH-0092,35-44,male,household_head,worker,livestock
P-00293,HH-0093,25-34,female,household_head,worker,other
P-00294,HH-0093,0-5,male,child,dependent,livestock
P-00295,HH-0093,35-44,male,adult,worker,casual_labor
P-00296,HH-0093,18-24,female,adult,worker,livestock
P-00297,HH-0093,35-44,female,adult,caregiver,livestock
P-00298,HH-0094,45-54,female,household_head,caregiver,retail_trade
P-00299,HH-0095,35-44,male,household_head,worker,retail_trade
P-00300,HH-0095,13-17,male,child,student,retail_trade
P-00301,HH-0095,35-44,female,adult,worker,retail_trade
P-00302,HH-0096,25-34,female,household_head,caregiver,livestock
P-00303,HH-0096,18-24,male,adult,worker,other
P-00304,HH-0096,0-5,male,child,dependent,restaurant_work
P-00305,HH-0096,13-17,female,child,student,other
P-00306,HH-0097,45-54,male,household_head,worker,livestock
P-00307,HH-0097,45-54,male,adult,caregiver,livestock
P-00308,HH-0097,6-12,male,child,student,home_care
P-00309,HH-0097,6-12,female,child,student,casual_labor
P-00310,HH-0097,13-17,female,child,student,school
P-00311,HH-0097,13-17,male,child,student,home_care
P-00312,HH-0098,45-54,female,household_head,worker,home_care
P-00313,HH-0098,45-54,female,adult,worker,casual_labor
P-00314,HH-0098,18-24,male,adult,worker,casual_labor
P-00315,HH-0098,35-44,female,adult,worker,restaurant_work
P-00316,HH-0098,13-17,female,child,student,home_care
P-00317,HH-0098,0-5,male,child,dependent,school
P-00318,HH-0099,55-64,male,household_head,worker,home_care
P-00319,HH-0099,13-17,female,child,student,casual_labor
P-00320,HH-0099,25-34,male,adult,worker,livestock
P-00321,HH-0099,45-54,male,adult,worker,school
P-00322,HH-0100,35-44,female,household_head,worker,retail_trade
P-00323,HH-0100,18-24,female,adult,worker,home_care
P-00324,HH-0101,65+,female,household_head,dependent,school
P-00325,HH-0101,0-5,male,child,dependent,home_care
P-00326,HH-0101,55-64,male,adult,worker,restaurant_work
P-00327,HH-0101,25-34,male,adult,worker,retail_trade
P-00328,HH-0101,35-44,male,adult,worker,retail_trade
P-00329,HH-0102,45-54,male,household_head,caregiver,retail_trade
P-00330,HH-0102,35-44,female,adult,worker,retail_trade
P-00331,HH-0102,45-54,male,adult,worker,home_care
P-00332,HH-0103,55-64,female,household_head,worker,home_care
P-00333,HH-0104,25-34,male,household_head,worker,casual_labor
P-00334,HH-0105,35-44,male,household_head,worker,restaurant_work
P-00335,HH-0105,45-54,male,adult,worker,livestock
P-00336,HH-0105,0-5,female,child,dependent,casual_labor
P-00337,HH-0105,45-54,male,adult,worker,casual_labor
P-00338,HH-0105,6-12,female,child,student,livestock
P-00339,HH-0105,6-12,female,child,student,home_care
P-00340,HH-0105,18-24,male,adult,worker,casual_labor
P-00341,HH-0106,25-34,male,household_head,worker,home_care
P-00342,HH-0106,45-54,male,adult,caregiver,home_care
P-00343,HH-0107,35-44,male,household_head,worker,restaurant_work
P-00344,HH-0108,25-34,female,household_head,caregiver,retail_trade
P-00345,HH-0108,0-5,male,child,dependent,home_care
P-00346,HH-0108,25-34,male,adult,caregiver,livestock
P-00347,HH-0108,6-12,female,child,student,retail_trade
P-00348,HH-0108,13-17,male,child,student,casual_labor
P-00349,HH-0108,18-24,female,adult,worker,casual_labor
P-00350,HH-0109,35-44,male,household_head,worker,home_care
P-00351,HH-0109,55-64,female,adult,caregiver,home_care
P-00352,HH-0110,45-54,male,household_head,worker,casual_labor
P-00353,HH-0110,6-12,female,child,student,casual_labor
P-00354,HH-0110,13-17,female,child,student,other
P-00355,HH-0110,55-64,female,adult,worker,livestock
P-00356,HH-0110,6-12,female,child,student,school
P-00357,HH-0110,35-44,male,adult,caregiver,casual_labor
P-00358,HH-0111,55-64,male,household_head,worker,home_care
P-00359,HH-0111,0-5,male,child,dependent,casual_labor
P-00360,HH-0111,18-24,male,adult,worker,livestock
P-00361,HH-0112,35-44,male,household_head,worker,other
P-00362,HH-0112,13-17,male,child,student,retail_trade
P-00363,HH-0112,25-34,female,adult,caregiver,retail_trade
P-00364,HH-0113,35-44,female,household_head,worker,livestock
P-00365,HH-0113,25-34,male,adult,caregiver,casual_labor
P-00366,HH-0113,18-24,female,adult,worker,casual_labor
P-00367,HH-0113,25-34,female,adult,worker,livestock
P-00368,HH-0113,55-64,male,adult,worker,casual_labor
P-00369,HH-0114,25-34,male,household_head,worker,restaurant_work
P-00370,HH-0114,13-17,female,child,student,home_care
P-00371,HH-0114,25-34,female,adult,caregiver,home_care
P-00372,HH-0114,0-5,female,child,caregiver,livestock
P-00373,HH-0114,35-44,female,adult,worker,retail_trade
